流水序,教育部字號,Unicode,常用字,
1,A00001,4e00,一,一
2,A00002,4e01,丁,丁
3,A00003,4e03,七,七
4,A00004,4e09,三,三
5,A00005,4e0b,下,下
6,A00006,4e08,丈,丈
7,A00007,4e0a,上,上
8,A00008,4e11,丑,丑
9,A00009,4e10,丐,丐
10,A00010,4e0d,不,不
11,A00011,4e19,丙,丙
12,A00012,4e16,世,世
13,A00013,4e15,丕,丕
14,A00014,4e14,且,且
15,A00015,4e18,丘,丘
16,A00016,4e1e,丞,丞
17,A00017,4e1f,丟,丢
18,A00018,4e26,並,并
19,A00019,4e2b,丫,丫
20,A00020,4e2d,中,中
21,A00021,4e32,串,串
22,A00022,4e38,丸,丸
23,A00023,51e1,凡,凡
24,A00024,4e39,丹,丹
25,A00025,4e3b,主,主
26,A00026,4e43,乃,乃
27,A00027,4e45,久,久
28,A00028,4e48,么,么
29,A00029,4e4b,之,之
30,A00030,5c39,尹,尹
31,A00031,4e4d,乍,乍
32,A00032,4e4f,乏,乏
33,A00033,4e4e,乎,乎
34,A00034,4e52,乒,乒
35,A00035,4e53,乓,乓
36,A00036,4e56,乖,乖
37,A00037,4e58,乘,乘
38,A00038,4e59,乙,乙
39,A00039,4e5d,九,九
40,A00040,4e5f,也,也
41,A00041,4e5e,乞,乞
42,A00042,4e69,乩,乩
43,A00043,4e73,乳,乳
44,A00044,4e7e,乾,干
45,A00045,4e82,亂,乱
46,A00046,4e86,了,了
47,A00047,4e88,予,予
48,A00048,4e8b,事,事
49,A00049,4e8c,二,二
50,A00050,4e8e,于,于
51,A00051,4e91,云,云
52,A00052,4e95,井,井
53,A00053,4e92,互,互
54,A00054,4e94,五,五
55,A00055,4e99,亙,亘
56,A00056,4e9b,些,些
57,A00057,4e9e,亞,亚
58,A00058,4e9f,亟,亟
59,A00059,4ea1,亡,亡
60,A00060,4ea4,交,交
61,A00061,4ea6,亦,亦
62,A00062,4ea5,亥,亥
63,A00063,4ea8,亨,亨
64,A00064,4eab,享,享
65,A00065,4eac,京,京
66,A00066,4ead,亭,亭
67,A00067,4eae,亮,亮
68,A00068,4eba,人,人
69,A00069,4ec1,仁,仁
70,A00070,4ec0,什,什
71,A00071,4ec3,仃,仃
72,A00072,4ec6,仆,仆
73,A00073,4ec7,仇,仇
74,A00074,4ecd,仍,仍
75,A00075,4eca,今,今
76,A00076,4ecb,介,介
77,A00077,4ec4,仄,仄
78,A00078,4ee5,以,以
79,A00079,4ed8,付,付
80,A00080,4ed4,仔,仔
81,A00081,4ed5,仕,仕
82,A00082,4ed6,他,他
83,A00083,4ed7,仗,仗
84,A00084,4ee3,代,代
85,A00085,4ee4,令,令
86,A00086,4ed9,仙,仙
87,A00087,4ede,仞,仞
88,A00088,4eff,仿,仿
89,A00089,4f09,伉,伉
90,A00090,4f19,伙,伙
91,A00091,4f0a,伊,伊
92,A00092,4f15,伕,伕
93,A00093,4f0d,伍,伍
94,A00094,4f10,伐,伐
95,A00095,4f11,休,休
96,A00096,4f0f,伏,伏
97,A00097,4ef2,仲,仲
98,A00098,4ef6,件,件
99,A00099,4efb,任,任
100,A00100,4ef0,仰,仰
101,A00101,4ef3,仳,仳
102,A00102,4efd,份,份
103,A00103,4f01,企,企
104,A00104,4f4d,位,位
105,A00105,4f4f,住,住
106,A00106,4f47,佇,伫
107,A00107,4f57,佗,佗
108,A00108,4f5e,佞,佞
109,A00109,4f34,伴,伴
110,A00110,4f5b,佛,佛
111,A00111,4f55,何,何
112,A00112,4f30,估,估
113,A00113,4f50,佐,佐
114,A00114,4f51,佑,佑
115,A00115,4f3d,伽,伽
116,A00116,4f3a,伺,伺
117,A00117,4f38,伸,伸
118,A00118,4f43,佃,佃
119,A00119,4f54,佔,占
120,A00120,4f3c,似,似
121,A00121,4f46,但,但
122,A00122,4f63,佣,佣
123,A00123,4f5c,作,作
124,A00124,4f60,你,你
125,A00125,4f2f,伯,伯
126,A00126,4f4e,低,低
127,A00127,4f36,伶,伶
128,A00128,4f59,余,余
129,A00129,4f5d,佝,佝
130,A00130,4f6f,佯,佯
131,A00131,4f9d,依,依
132,A00132,4f8d,侍,侍
133,A00133,4f73,佳,佳
134,A00134,4f7f,使,使
135,A00135,4f6c,佬,佬
136,A00136,4f9b,供,供
137,A00137,4f8b,例,例
138,A00138,4f86,來,来
139,A00139,4f83,侃,侃
140,A00140,4f70,佰,佰
141,A00141,4f75,併,并
142,A00142,4f88,侈,侈
143,A00143,4f69,佩,佩
144,A00144,4f7b,佻,佻
145,A00145,4f96,侖,仑
146,A00146,4f7e,佾,佾
147,A00147,4f8f,侏,侏
148,A00148,4fe1,信,信
149,A00149,4fb5,侵,侵
150,A00150,4faf,侯,侯
151,A00151,4fbf,便,便
152,A00152,4fe0,俠,侠
153,A00153,4fd1,俑,俑
154,A00154,4fcf,俏,俏
155,A00155,4fdd,保,保
156,A00156,4fc3,促,促
157,A00157,4fb6,侶,侣
158,A00158,4fd8,俘,俘
159,A00159,4fdf,俟,俟
160,A00160,4fca,俊,俊
161,A00161,4fd7,俗,俗
162,A00162,4fae,侮,侮
163,A00163,4fd0,俐,俐
164,A00164,4fc4,俄,俄
165,A00165,4fc2,係,系
166,A00166,4fda,俚,俚
167,A00167,4fce,俎,俎
168,A00168,4fde,俞,俞
169,A00169,500c,倌,倌
170,A00170,500d,倍,倍
171,A00171,5023,倣,仿
